Pestador ;Sede;Dirección;Teléfono;Email;Grupo de Servicio ;BÁSICO;MEDICALIZADO;URGENCIAS
INSTITUTO NACIONAL DE CANCEROLOGIA;INSTITUTO NACIONAL DE CANCEROLOGIA;Cl 1 No 9-85;0913905012 Ext. 2000 - 2001;direccion@cancer.gov.co;Atención Inmediata;;;X
Ips Angeles Medicare sas sigla Ips Angeles Sas, Angeles Medicare Ips Sas;IPS ANGELES MEDICARE SAS;carrera 56 a # 5 B - 68;3208283036;ipsangelesmedicaresas@gmail.com;Atención Inmediata;X;;
J&E QUALITY HEALTH SYSTEMS SAS;SEDE VILLA LUZ;CALLE 63 77 C -28;3102414265-3229494354;GERENCIAQHS@GMAIL.COM;Atención Inmediata;X;;
KOM CARE IPS S.A.S. Sigla KOM CARE IPS S.A.S.;KOM CARE IPS S.A.S. Sigla KOM CARE IPS S.A.S.;Cr 11 A #98-50 P6;3134636856;reportes@komcareips.com.co;Atención Inmediata;X;;
KOONSALUD SAS;KOONSALUD SAS;CR 18 P BIS No. 61 D 05 SUR P1;3102434347;KOONSALUDSAS@GMAIL.COM;Atención Inmediata;X;;
LINEA DE VIDA S.A.S;LINEA DE VIDA BASE;Calle 86B #49D - 28 OFICINA 201;3158279829 - 7868160 Ext 2020;marcela.sanchez@lineadevida.com.co;Atención Inmediata;X;;
LINEA MEDICA DE AMBULANCIAS S.A.S.;LINEA MEDICA DE AMBULANCIAS S.A.S.;CALLE 25 C 85 C 44 PISO 1,2 Y 3;5141414 - 3175010786;amatallana@lineamedicadeambulancias.com;Atención Inmediata;X;X;
LINEA MEDICA DE AMBULANCIAS S.A.S.;LINEA MEDICA DE AMBULANCIAS S.A.S.;CALLE 25 C 85 C 44 PISO 1,2 Y 3;5141414 - 3175010786;amatallana@lineamedicadeambulancias.com;Atención Inmediata;X;X;
LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS;LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS;AK 9 N° 131 A - 40;7457581 EXT 2366;calidad@loscobosmc.com;Atención Inmediata;;;X
MED DRIVE SAS;MED DRIVE SAS;Calle 163 A 20 54 Piso 1;3124472669;gerenciameddrive01@gmail.com;Atención Inmediata;X;;
MEDICAL HEALTH SOCIETY S.A.S;MEDICAL HEALTH SOCIETY S.A.S;CALLE 31 SUR N 51 A 11;7017381-3144512257;mhsbogota@gmail.com;Atención Inmediata;X;;
MEDICALL J & F SAS;MEDICALL J & F SAS;AV 1 DE MAYO No. 34-64 P 1;3102052831;medicalljf2022@gmail.com;Atención Inmediata;X;;
Medicentro Familiar IPS SAS;Medicentro Familiar IPS SAS;Calle 20 No. 98-62;3108062745-3118895118;lidercalidad@clinicamedicentrofamiliar.com;Atención Inmediata;;;X
Medicentro Familiar IPS SAS;AMBULANCIAS ALPHA;KR 99 # 20 38;3136702437 3016810008;lidercalidad@medicentrofamiliarips.com;Atención Inmediata;;;X
Medicentro Familiar IPS SAS;Clinica Medicentro Familiar sede Suba;Carrera 94B No 132A-65;3108077965;lidercalidad@clinicamedicentrofamiliar.com;Atención Inmediata;;;X
MEDICINA TACTICA IPS SAS SIGLA MEDITAC IPS SAS;MEDICINA TACTICA IPS SAS SIGLA MEDITAC IPS SAS;CL 35 SUR # 52A - 12 PISO 1 LOCAL 2;3208625038;medicinatacticaips@gmail.com;Atención Inmediata;X;;
MEDIYA AG SAS;MEDIYA AG SAS;CARRERA 29 No. 3-22 PRIMER PISO;3044391708;mediya1018@gmail.com;Atención Inmediata;X;;
PROAMBULANCIAS IPS SAS;PROAMBULANCIAS IPS SAS;KR 75k # 58 B 04 SUR PI 1;3213494616;proambulancias.ips@gmail.com;Atención Inmediata;X;;
PROVITAL MS S.A.S;PROVITAL MS S.A.S.;AC 3 No 53 F 58 P 1;7026644;provitaladm21@gmail.com;Atención Inmediata;X;;
RED MEDICA IPS SAS;RED MEDICA IPS SAS;CALLE 71 A N 70B-35 PISO 1;6159034-6159035-3185162991;gerenciaredmedicaipssas@gmail.com;Atención Inmediata;X;X;
RED MEDICA IPS SAS;RED MEDICA IPS SAS;CALLE 71 A N 70B-35 PISO 1;6159034-6159035-3185162991;gerenciaredmedicaipssas@gmail.com;Atención Inmediata;X;X;
RIO SUR SAS;RIO SUR SAS;AC 26 #103 08 EN 1 IN 20 A;4139857-3138084059;subgerencia@gruporiosur.com;Atención Inmediata;;X;
S.O.S SALUD S.A.S;S.O.S SALUD S.A.S;Cra 68G N° 75-71;6018000519 6014909696;gerencia@sossalud.com.co;Atención Inmediata;X;X;
S.O.S SALUD S.A.S;S.O.S SALUD S.A.S;Cra 68G N° 75-71;6018000519 6014909696;gerencia@sossalud.com.co;Atención Inmediata;X;X;
SALVID SALUD SAS;SALVID SALUD SAS;CALLE 130C Nº 90-20;3229144955;SALVIDSALUDSAS@GMAIL.COM;Atención Inmediata;X;;
SAMBUCI SAS;SAMBUCI SAS;CL 71 A 68 F 26 P1;3232255717;sambucisas@gmail.com;Atención Inmediata;X;;
SERBIOMEGA AMBULANCIAS SAS;SERBIOMEGA AMBULANCIAS SAS;Cr 71 D No 72 24;3156886128;serbiomega.ambulancias@gmail.com;Atención Inmediata;X;X;
SERBIOMEGA AMBULANCIAS SAS;SERBIOMEGA AMBULANCIAS SAS;Cr 71 D No 72 24;3156886128;serbiomega.ambulancias@gmail.com;Atención Inmediata;X;X;
SERVIAMBULANCIAS 247 SAS;SERVIAMBULANCIAS 247 SEDE BOGOTA;Cl 48 A Sur No. 77 V 34 P 1;3006127792;serviambulancias24@gmail.com;Atención Inmediata;X;;
Servicio y Atencion de Emergencia Medica SAS Sigla Ambulancias SAEM SAS;Servicio y Atencion de Emergencia Medica SAS Sigla Ambulancias SAEM SAS;CALLE 49 B SUR No 28 - 47 PISO 1 LOCAL 1;3007399261;ambulanciassaem@gmail.com;Atención Inmediata;X;;
SERVICIOS AEREOS PANAMERICANOS SAS;SERVICIOS AEREOS PANAMERICANOS;EL DORADO VIA CATAM EN 6 HG 39;7434161;adriana.escobar@sarpa.com.co;Atención Inmediata;;X;
SERVICIOS BIOMEDICOS INGENIERIA LTDA SERBIOMED LTDA;SERVICIOS BIOMEDICOS INGENIERIA LTDA SERBIOMED LTDA;Calle 74 #75-27/37;3506002364-6316026-4903579-4900083;gerencia@serbiomedambulancias.com;Atención Inmediata;X;X;
SERVICIOS BIOMEDICOS INGENIERIA LTDA SERBIOMED LTDA;SERVICIOS BIOMEDICOS INGENIERIA LTDA SERBIOMED LTDA;Calle 74 #75-27/37;3506002364-6316026-4903579-4900083;gerencia@serbiomedambulancias.com;Atención Inmediata;X;X;
Servicios de Salud IPS Suramericana S.A.S;SALUD SURA CALLE 100 BOGOTA;Cl. 100 No. 19 A - 35;(1) 487 38 88 / 3164625445;rqext@suramericana.com.co / llbenavidesm@sura.com.co;Atención Inmediata;;;X
servicios medicos prioritarios sas;servicios medicos prioritarios sas;cra 95 N 146a - 31;3016572232;info@serviciosmedicosprioritarios.com;Atención Inmediata;X;;
SOCIEDAD DE CIRUGIA DE BOGOTA HOSPITAL DE SAN JOSE;Sociedad de Cirugía de Bogotá - Hospital de San José;CL 10 No. 18 - 75;3538000 ext 523 o 509;calidad@hospitaldesanjose.org.co;Atención Inmediata;;;X
SOCIEDAD MEDICA ALCALA SAS;SOCIEDAD MEDICA ALCALA SAS;AVENIDA CARRERA 19 No 135-24;3232255717-3114849286;calidad@smaclinica.com;Atención Inmediata;;;X
SOCIEDAD MEDICA DE ORTOPEDIA Y ACCIDENTES LABORALES S A;CLINICA DE ORTOPEDIA Y ACCIDENTES LABORALES;Calle 6 A # 70 - 06;;gerenciasmo@coal.clinic;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD SANTA CLARA HOSPITAL UNIVERSITARIO;CARRERA 14 B NUMERO 1-45 SUR;3282828 ext 18191, 18000, 18151;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD SAN BLAS;TRANSVERSAL 5 ESTE NUMERO 19-50 SUR;3282828 EXT 13192, 13941,13620;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD SAN BLAS;TRANSVERSAL 5 ESTE NUMERO 19-50 SUR;3282828 EXT 13192, 13941,13620;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD SAN BLAS;TRANSVERSAL 5 ESTE NUMERO 19-50 SUR;3282828 EXT 13192, 13941,13620;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD PERSEVERANCIA;CARRERA 5 NUMERO 33 A-45;3282828 ETX 25181,25191;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD SAMPER MENDOZA;CARRERA 22 NUMERO 22 A -26;3282828 EXT 19191,19181,19611;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD JORGE ELIECER GAITAN;CARRERA 4 A ESTE # 5-20;3282828 ETX 16912, 16611,16571;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD DIANA TURBAY;carrera 1f #48x 40 sur;3282828;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD CHIRCALES;TRANSVERSAL 5 L BIS NUMERO 48 F- 69 SUR;3282828 EXT 21341, 21181,21621;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD OLAYA;CARRERA 21 NUMERO 22-51 SUR;3282828 EXT 24192,24191,24851;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E;UNIDAD DE SERVICIOS DE SALUD VICTORIA;DIAGONAL 39 SUR NUMERO 3-20 ESTE;3282828 EXT 14131, 14132, 14192;radicacionmedioselectronicos@subredcentrooriente.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E;UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR;CALLE 165 # 7 06;4431790;subrednorte@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E;UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR;CALLE 165 # 7 06;4431790;subrednorte@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E;UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR;CALLE 165 # 7 06;4431790;subrednorte@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E;UNIDAD DE SERVICIOS DE SALUD ENGATIVÁ CALLE 80;TRANSVERSAL 100 A # 80 A - 50;4431790;subrednorte@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E;UNIDAD DE SERVICIOS DE SALUD ENGATIVÁ CALLE 80;TRANSVERSAL 100 A # 80 A - 50;4431790;subrednorte@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E;UNIDAD DE SERVICIOS DE SALUD EMAUS;CALLE 64 C # 121 - 76;4431790;subrednorte@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E;UNIDAD DE SERVICIOS DE SALUD CENTRO DE SERVICIOS ESPECIALIZADO;KR 104 Nº 152C-50;4431790;subrednorte@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E;UNIDAD DE SERVICIOS DE SALUD GAITANA I;TRANSVERSAL 126 Nº 134-88;4431790;subrednorte@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E;UNIDAD DE SERVICIOS DE SALUD CHAPINERO;Calle 66 No 15-41;4431790;subrednorte@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD EL TUNAL;CR 20 47B-35 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD EL TUNAL;CR 20 47B-35 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD MEISSEN;KR 18 B No. 60 G - 36 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD MEISSEN;KR 18 B No. 60 G - 36 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD MEISSEN;KR 18 B No. 60 G - 36 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD AMBULATORIA TUNJUELITO;AV CARACAS No. 51 - 21 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD AMBULATORIA TUNJUELITO;AV CARACAS No. 51 - 21 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD AMBULATORIA TUNJUELITO;AV CARACAS No. 51 - 21 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD JERUSALEN;CL 77 No. 85 B - 13 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD VISTA HERMOSA;KR 18 C No. 66 A - 55 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD USME;KR 13 No. 135 A - 42 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD USME;KR 13 No. 135 A - 42 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD USME;KR 13 No. 135 A - 42 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD SANTA LIBRADA I;KR 9 B No. 75 - 49 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD SAN JUAN DE SUMAPÁZ;Corregimiento San Juan de Sumapáz;3219007751;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD SAN JUAN DE SUMAPÁZ;Corregimiento San Juan de Sumapáz;3219007751;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;UNIDAD DE SERVICIOS DE SALUD NAZARETH;Corregimiento de Nazareth de Sumapaz;3108879305;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.;HOSPITAL DE USME;carrera 5 Este # 110-11 Sur;7300000 Opción 0;subredsur@saludcapital.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Hospital Occidente de Kennedy;TV 74 F # 40 B 54 SUR;3849160;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Hospital Occidente de Kennedy;TV 74 F # 40 B 54 SUR;3849160;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Hospital Occidente de Kennedy;TV 74 F # 40 B 54 SUR;3849160;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Hospital Pediátrico Tintal;CALLE 10 # 86 - 58;5550950;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Centro de Salud Patio Bonito;Diagonal 38 sur No. 82 - 30;4547018;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Centro de Salud Trinidad Galán;Carrera 60 No. 4 - 15;2607876;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Hospital Fontibón;Carrera 99 No. 16i - 41;4860033;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Hospital Fontibón;Carrera 99 No. 16i - 41;4860033;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Hospital Fontibón;Carrera 99 No. 16i - 41;4860033;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
Subred Integrada de Servicios de Salud Sur Occidente E.S.E;Hospital de Bosa;Calle 73 Sur # 100 A - 53;6013849160;contactenos@subredsuroccidente.gov.co;Atención Inmediata;;;X
SYG AMBULANCIAS S.A.S.;SYG AMBULANCIAS S.A.S.;CL 164B # 4 47 PI 1;3208555096 - 3213353137;sygambulancias@hotmail.com;Atención Inmediata;X;X;
SYG AMBULANCIAS S.A.S.;SYG AMBULANCIAS S.A.S.;CL 164B # 4 47 PI 1;3208555096 - 3213353137;sygambulancias@hotmail.com;Atención Inmediata;X;X;
UNIDAD MEDICA ONCOLOGICA ONCOLIFE IPS SAS;UNIDAD MEDICA ONCOLOGICA ONCOLIFE IPS SAS;AV Carrera 45 # 104A 87/91;5803973-3178061653;calidad1@oncolife.com.co;Atención Inmediata;X;;
UNIDAD MEDICA Y DE DIAGNOSTICO S.A;CENTRO MÉDICO SEDE TORRE COLMÉDICA SANTA BÁRBARA;AK 45 NO. 122 - 96 Piso 1 Excepto Consultorios A y B - Piso 2 - Piso 4 - Piso 6 - Piso 7;3176551904 - 3212535796;NotificacionesJudiciales@umd.com.co;Atención Inmediata;;X;
UNIVERSIDAD NACIONAL DE COLOMBIA;AREA DE SALUD DE BIENESTAR DE LA UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;KR 30 # 45 03 ED 426 PI 1 ED DE GENÉTICA;(57)(1) 3165520/10;areasalud_bog@unal.edu.co;Atención Inmediata;X;;
vertical salud urgencias y emergencias s.a.s sigla VSUE;vertical salud urgencias y emergencias s.a.s sigla vsue;carrera 25 # 23-11 sur;3728663-3142124166;verticaljc@hotmail.com;Atención Inmediata;X;;
VIDEO OFFICE MEDICALL IPS S.A.S. - VOM;VIDEO OFFICE MEDICALL IPS S.A.S. - VOM;"CL 37 D SUR # 68 L 32 PI 1, PI 4 y PI 5 ""ARCHIVO""";7103384 - 3133484737;videoofficemedicall@gmail.com;Atención Inmediata;X;X;
VIDEO OFFICE MEDICALL IPS S.A.S. - VOM;VIDEO OFFICE MEDICALL IPS S.A.S. - VOM;"CL 37 D SUR # 68 L 32 PI 1, PI 4 y PI 5 ""ARCHIVO""";7103384 - 3133484737;videoofficemedicall@gmail.com;Atención Inmediata;X;X;
VIRREY SOLIS IPS. S.A.;VIRREY SOLIS I.P.S S.A. AMERICAS;AV LAS AMERICAS # 66 A 27 PISO 1 PISO 2 BLOQUE SUR;4473535 EXT 278, 476, 248;calidad@virreysolisips.com.co;Atención Inmediata;;;X
VIRREY SOLIS IPS. S.A.;VIRREY SOLIS IPS S.A - CLINICA SUBA;AC 145 # 95 B - 22;4473535 EXT 278, 476, 248;calidad@virreysolisips.com.co;Atención Inmediata;;;X
VIRREY SOLIS IPS. S.A.;VIRREY SOLIS IPS.S.A. CALLE 98;KR 49 No 98 A 28;4473535 EXT 278, 476, 248;calidad@virreysolisips.com.co;Atención Inmediata;;;X
Visión medica de Ambulancias SAS;VISION MEDICA DE AMBULANCIAS SAS;CL 25 SUR # 69C 69 PISO 1- ENTRADA 1;6013061090 3152235497;visionmedicadeambulancias@gmail.com;Atención Inmediata;;X;
VITAL CARE S.O.S S.A.S;VITAL CARE S.O.S S.A.S;CR 71 NO. 65 B 04 PRIMER PISO;3217561941;vitalcaresos3@gmail.com;Atención Inmediata;X;;
VITAL LIFE SAS;VITAL LIFE SAS;CALLE 102 A NO. 70G-19 y 70G-21;2719676 - 7579602-7429502 -2269505 - 2269506;alixrruiz-bello@hotmail.com;Atención Inmediata;X;X;
VITAL LIFE SAS;VITAL LIFE SAS;CALLE 102 A NO. 70G-19 y 70G-21;2719676 - 7579602-7429502 -2269505 - 2269506;alixrruiz-bello@hotmail.com;Atención Inmediata;X;X;
VITAL TIME D Y G SAS;VITAL TIME D Y G SAS SEDE BOGOTA;CALLE 40 A SUR # 90 A -09 P 1;3239979437;dygvitaltimesas@gmail.com;Atención Inmediata;X;;
WORLD IN AMBULANCE SERVICES SAS;WORLD IN AMBULANCE SERVICES SAS;KR 77 BIS 70 12 PI 1;3045528005;wordambulance@gmail.com;Atención Inmediata;X;;
